1547
1.927352 11.149436
2.375 41.28 0.0 
2.3736043 41.24759 2.4215193 
2.3722086 41.21518 2.4215193 
2.370813 41.18277 2.4215193 
2.3694172 41.15036 2.4215193 
2.3680215 41.11795 2.4215193 
2.3666258 41.08554 2.4215193 
2.36523 41.05313 2.4215193 
2.3638344 41.02072 2.4215193 
2.3624387 40.98831 2.4215193 
2.361043 40.955902 2.4215193 
2.3596473 40.923492 2.4215193 
2.3582516 40.891083 2.4215193 
2.3568559 40.858673 2.4215193 
2.3554602 40.826263 2.4215193 
2.3540645 40.793854 2.4215193 
2.3526688 40.761444 2.4215193 
2.351273 40.729034 2.4215193 
2.3498774 40.696625 2.4215193 
2.3484817 40.664215 2.4215193 
2.347086 40.631805 2.4215193 
2.3456903 40.599396 2.4215193 
2.3442945 40.566986 2.4215193 
2.3428988 40.534576 2.4215193 
2.3415031 40.502167 2.4215193 
2.3401074 40.469757 2.4215193 
2.3387117 40.437347 2.4215193 
2.337316 40.404938 2.4215193 
2.3359203 40.372528 2.4215193 
2.3345246 40.34012 2.4215193 
2.333129 40.30771 2.4215193 
2.3317332 40.2753 2.4215193 
2.3303375 40.24289 2.4215193 
2.3289418 40.21048 2.4215193 
2.3275461 40.17807 2.4215193 
2.3261504 40.14566 2.4215193 
2.3247547 40.11325 2.4215193 
2.323359 40.08084 2.4215193 
2.3219633 40.04843 2.4215193 
2.3205676 40.01602 2.4215193 
2.319172 39.983612 2.4215193 
2.3177762 39.951202 2.4215193 
2.3163805 39.918793 2.4215193 
2.3149848 39.886383 2.4215193 
2.313589 39.853973 2.4215193 
2.3121934 39.821564 2.4215193 
2.3107977 39.789154 2.4215193 
2.309402 39.756744 2.4215193 
2.3080063 39.724335 2.4215193 
2.3066106 39.691925 2.4215193 
2.305215 39.659515 2.4215193 
2.3038192 39.627106 2.4215193 
2.3024235 39.594696 2.4215193 
2.3010278 39.562286 2.4215193 
2.299632 39.529877 2.4215193 
2.2982364 39.497467 2.4215193 
2.2968407 39.465057 2.4215193 
2.295445 39.432648 2.4215193 
2.2940493 39.400238 2.4215193 
2.2926536 39.36783 2.4215193 
2.2912579 39.33542 2.4215193 
2.2898622 39.30301 2.4215193 
2.2884665 39.2706 2.4215193 
2.2870708 39.23819 2.4215193 
2.285675 39.20578 2.4215193 
2.2842793 39.17337 2.4215193 
2.2828836 39.14096 2.4215193 
2.281488 39.10855 2.4215193 
2.2800922 39.07614 2.4215193 
2.2786965 39.04373 2.4215193 
2.2773008 39.011322 2.4215193 
2.2759051 38.978912 2.4215193 
2.2745094 38.946503 2.4215193 
2.2731137 38.914093 2.4215193 
2.271718 38.881683 2.4215193 
2.2703223 38.849274 2.4215193 
2.2689266 38.816864 2.4215193 
2.267531 38.784454 2.4215193 
2.2661352 38.752045 2.4215193 
2.2647395 38.719635 2.4215193 
2.2633438 38.687225 2.4215193 
2.261948 38.654816 2.4215193 
2.2605524 38.622406 2.4215193 
2.2591567 38.589996 2.4215193 
2.257761 38.557587 2.4215193 
2.2563653 38.525177 2.4215193 
2.2549696 38.492767 2.4215193 
2.253574 38.460358 2.4215193 
2.2521782 38.427948 2.4215193 
2.2507825 38.39554 2.4215193 
2.2493868 38.36313 2.4215193 
2.247991 38.33072 2.4215193 
2.2465954 38.29831 2.4215193 
2.2451997 38.2659 2.4215193 
2.243804 38.23349 2.4215193 
2.2424083 38.20108 2.4215193 
2.2410126 38.16867 2.4215193 
2.2396169 38.13626 2.4215193 
2.2382212 38.10385 2.4215193 
2.2368255 38.07144 2.4215193 
2.2354298 38.039032 2.4215193 
2.234034 38.006622 2.4215193 
2.2326384 37.974213 2.4215193 
2.2312427 37.941803 2.4215193 
2.229847 37.909393 2.4215193 
2.2284513 37.876984 2.4215193 
2.2270555 37.844574 2.4215193 
2.2256598 37.812164 2.4215193 
2.2242641 37.779755 2.4215193 
2.2228684 37.747345 2.4215193 
2.2214727 37.714935 2.4215193 
2.220077 37.682526 2.4215193 
2.2186813 37.650116 2.4215193 
2.2172856 37.617706 2.4215193 
2.21589 37.585297 2.4215193 
2.2144942 37.552887 2.4215193 
2.2130985 37.520477 2.4215193 
2.2117028 37.488068 2.4215193 
2.2103071 37.455658 2.4215193 
2.2089114 37.42325 2.4215193 
2.2075157 37.39084 2.4215193 
2.20612 37.35843 2.4215193 
2.2047243 37.32602 2.4215193 
2.2033286 37.29361 2.4215193 
2.201933 37.2612 2.4215193 
2.2005372 37.22879 2.4215193 
2.1991415 37.19638 2.4215193 
2.1977458 37.16397 2.4215193 
2.19635 37.13156 2.4215193 
2.1949544 37.09915 2.4215193 
2.1935587 37.066742 2.4215193 
2.192163 37.034332 2.4215193 
2.1907673 37.001923 2.4215193 
2.1893716 36.969513 2.4215193 
2.187976 36.937103 2.4215193 
2.1865802 36.904694 2.4215193 
2.1851845 36.872284 2.4215193 
2.1837888 36.839874 2.4215193 
2.182393 36.807465 2.4215193 
2.1809974 36.775055 2.4215193 
2.1796017 36.742645 2.4215193 
2.178206 36.710236 2.4215193 
2.1768103 36.677826 2.4215193 
2.1754146 36.645416 2.4215193 
2.1740189 36.613007 2.4215193 
2.1726232 36.580597 2.4215193 
2.1712275 36.548187 2.4215193 
2.1698318 36.515778 2.4215193 
2.168436 36.483368 2.4215193 
2.1670403 36.45096 2.4215193 
2.1656446 36.41855 2.4215193 
2.164249 36.38614 2.4215193 
2.1628532 36.35373 2.4215193 
2.1614575 36.32132 2.4215193 
2.1600618 36.28891 2.4215193 
2.1586661 36.2565 2.4215193 
2.1572704 36.22409 2.4215193 
2.1558747 36.19168 2.4215193 
2.154479 36.15927 2.4215193 
2.1530833 36.12686 2.4215193 
2.1516876 36.09445 2.4215193 
2.150292 36.062042 2.4215193 
2.1488962 36.029633 2.4215193 
2.1475005 35.997223 2.4215193 
2.1461048 35.964813 2.4215193 
2.144709 35.932404 2.4215193 
2.1433134 35.899994 2.4215193 
2.1419177 35.867584 2.4215193 
2.140522 35.835175 2.4215193 
2.1391263 35.802765 2.4215193 
2.1377306 35.770355 2.4215193 
2.136335 35.737946 2.4215193 
2.1349392 35.705536 2.4215193 
2.1335435 35.673126 2.4215193 
2.1321478 35.640717 2.4215193 
2.130752 35.608307 2.4215193 
2.1293564 35.575897 2.4215193 
2.1279607 35.543488 2.4215193 
2.126565 35.511078 2.4215193 
2.1251693 35.47867 2.4215193 
2.1237736 35.44626 2.4215193 
2.1223779 35.41385 2.4215193 
2.1209822 35.38144 2.4215193 
2.1195865 35.34903 2.4215193 
2.1181908 35.31662 2.4215193 
2.116795 35.28421 2.4215193 
2.1153994 35.2518 2.4215193 
2.1140037 35.21939 2.4215193 
2.112608 35.18698 2.4215193 
2.1112123 35.15457 2.4215193 
2.1098166 35.12216 2.4215193 
2.1084208 35.089752 2.4215193 
2.1070251 35.057343 2.4215193 
2.1056294 35.024933 2.4215193 
2.1042337 34.992523 2.4215193 
2.102838 34.960114 2.4215193 
2.1014423 34.927704 2.4215193 
2.1000466 34.895294 2.4215193 
2.098651 34.862885 2.4215193 
2.0972552 34.830475 2.4215193 
2.0958595 34.798065 2.4215193 
2.0944638 34.765656 2.4215193 
2.0930681 34.733246 2.4215193 
2.0916724 34.700836 2.4215193 
2.0902767 34.668427 2.4215193 
2.088881 34.636017 2.4215193 
2.0874853 34.603607 2.4215193 
2.0860896 34.571198 2.4215193 
2.084694 34.538788 2.4215193 
2.0832982 34.50638 2.4215193 
2.0819025 34.47397 2.4215193 
2.0805068 34.44156 2.4215193 
2.079111 34.40915 2.4215193 
2.0777154 34.37674 2.4215193 
2.0763197 34.34433 2.4215193 
2.074924 34.31192 2.4215193 
2.0735283 34.27951 2.4215193 
2.0721326 34.2471 2.4215193 
2.070737 34.21469 2.4215193 
2.0693412 34.18228 2.4215193 
2.0679455 34.14987 2.4215193 
2.0665498 34.117462 2.4215193 
2.065154 34.085052 2.4215193 
2.0637584 34.052643 2.4215193 
2.0623627 34.020233 2.4215193 
2.060967 33.987823 2.4215193 
2.0595713 33.955414 2.4215193 
2.0581756 33.923004 2.4215193 
2.0567799 33.890594 2.4215193 
2.0553842 33.858185 2.4215193 
2.0539885 33.825775 2.4215193 
2.0525928 33.793365 2.4215193 
2.051197 33.760956 2.4215193 
2.0498013 33.728546 2.4215193 
2.0484056 33.696136 2.4215193 
2.04701 33.663727 2.4215193 
2.0456142 33.631317 2.4215193 
2.0442185 33.598907 2.4215193 
2.0428228 33.566498 2.4215193 
2.0414271 33.53409 2.4215193 
2.0400314 33.50168 2.4215193 
2.0386357 33.46927 2.4215193 
2.03724 33.43686 2.4215193 
2.0358443 33.40445 2.4215193 
2.0344486 33.37204 2.4215193 
2.033053 33.33963 2.4215193 
2.0316572 33.30722 2.4215193 
2.0302615 33.27481 2.4215193 
2.0288658 33.2424 2.4215193 
2.02747 33.20999 2.4215193 
2.0260744 33.17758 2.4215193 
2.0246787 33.145172 2.4215193 
2.023283 33.112762 2.4215193 
2.0218873 33.080353 2.4215193 
2.0204916 33.047943 2.4215193 
2.019096 33.015533 2.4215193 
2.0177002 32.983124 2.4215193 
2.0163045 32.950714 2.4215193 
2.0149088 32.918304 2.4215193 
2.013513 32.885895 2.4215193 
2.0121174 32.853485 2.4215193 
2.0107217 32.821075 2.4215193 
2.009326 32.788666 2.4215193 
2.0079303 32.756256 2.4215193 
2.0065346 32.723846 2.4215193 
2.0051389 32.691437 2.4215193 
2.0037432 32.659027 2.4215193 
2.0023475 32.626617 2.4215193 
2.0009518 32.594208 2.4215193 
1.9995561 32.5618 2.4215193 
1.9981604 32.52939 2.4215193 
1.9967647 32.49698 2.4215193 
1.995369 32.46457 2.4215193 
1.9939733 32.43216 2.4215193 
1.9925776 32.39975 2.4215193 
1.9911819 32.36734 2.4215193 
1.9897861 32.33493 2.4215193 
1.9883904 32.30252 2.4215193 
1.9869947 32.27011 2.4215193 
1.985599 32.2377 2.4215193 
1.9842033 32.20529 2.4215193 
1.9828076 32.172882 2.4215193 
1.9814119 32.140472 2.4215193 
1.9800162 32.108063 2.4215193 
1.9786205 32.075653 2.4215193 
1.9772248 32.043243 2.4215193 
1.9758291 32.010834 2.4215193 
1.9744334 31.978424 2.4215193 
1.9730377 31.946014 2.4215193 
1.9716449 31.913616 2.4206567 
1.9702542 31.881226 2.4200807 
1.9688698 31.848852 2.4187803 
1.9674904 31.816484 2.4183376 
1.9661142 31.78413 2.4173322 
1.9647396 31.751787 2.4164734 
1.963368 31.719454 2.4157524 
1.9620006 31.687138 2.4144592 
1.9606402 31.65483 2.4137259 
1.9592829 31.622536 2.4128625 
1.9579327 31.59026 2.4114177 
1.9565835 31.557991 2.4108455 
1.9552417 31.525732 2.4101114 
1.9539087 31.493488 2.408946 
1.9525748 31.461246 2.4088063 
1.9512424 31.429022 2.4075217 
1.949907 31.396807 2.40682 
1.9485756 31.364601 2.406096 
1.9472493 31.33241 2.4049425 
1.9459232 31.300228 2.4043727 
1.9446009 31.268063 2.4030807 
1.9432777 31.235909 2.4022298 
1.9419601 31.203762 2.4016435 
1.940648 31.17163 2.400489 
1.9393345 31.13951 2.399782 
1.9380245 31.1074 2.3987753 
1.9367157 31.075306 2.397776 
1.9354106 31.043224 2.3967688 
1.93411 31.011154 2.3959014 
1.9328108 30.979097 2.3949018 
1.931515 30.94705 2.3941798 
1.9302161 30.91502 2.392909 
1.9289232 30.883001 2.3920372 
1.9276311 30.850992 2.3913238 
1.9263414 30.818996 2.3903208 
1.9250578 30.787006 2.3898754 
1.9237732 30.755033 2.3885982 
