-92559631349317837000000000000000000000000000000000000000000.000 	-92559631349317837000000000000000000000000000000000000000000.000 	-92559631349317837000000000000000000000000000000000000000000.000 	-92559631349317837000000000000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.031 	-92559631349317836000000000000000000000000000000000000000.000 	-92559631349317836000000000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.030 	-92559631349317839000000000000000000000000000000000000.000 	-92559631349317839000000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.029 	-92559631349317840000000000000000000000000000000000.000 	-92559631349317840000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.028 	-92559631349317843000000000000000000000000000000.000 	-92559631349317843000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.026 	-92559631349317843000000000000000000000000000.000 	-92559631349317843000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.025 	-92559631349317837000000000000000000000000.000 	-92559631349317837000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.024 	-92559631349317842000000000000000000000.000 	-92559631349317842000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.023 	-92559631349317836000000000000000000.000 	-92559631349317836000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.022 	-92559631349317830000000000000000.000 	-92559631349317830000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.021 	-92559631349317831000000000000.000 	-92559631349317831000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.021 	-92559631349317831000000000.000 	-92559631349317831000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.020 	-92559631349317825000000.000 	-92559631349317825000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.019 	-92559631349317829000.000 	-92559631349317829000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.018 	-92559631349317824.000 	-92559631349317824.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.017 	-92559631349315.453 	-92559631349312.828 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.016 	-92559631346.940 	-92559631344.313 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.016 	-92559628.972 	-92559626.344 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.015 	-92557.254 	-92554.626 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.014 	-90.182 	-87.555 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.013 	 2.285 	 4.912 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.013 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.012 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.011 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.011 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.010 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.010 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.009 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.009 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.008 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.008 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.008 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.376 	 5.006 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.376 	 5.006 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.376 	 5.006 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.376 	 5.006 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.376 	 5.006 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.031 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.030 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.029 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.028 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.027 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.026 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.025 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.024 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.023 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.022 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.021 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.020 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.019 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.019 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.018 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.017 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.016 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.016 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.015 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.014 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.013 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.013 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.012 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.012 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.011 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.011 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.010 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.010 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.009 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.009 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.009 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.008 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.377 	 5.008 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.008 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.007 	 2.377 	 5.005 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.378 	 5.007 	 2.377 	 5.005 
92559631349317837000000000000000000000000000000000000000000.000 	-92559631349317837000000000000000000000000000000000000000000.000 	92559631349317837000000000000000000000000000000000000000000.000 	-92559631349317837000000000000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.373 	 5.031 	-92559631349317836000000000000000000000000000000000000000.000 	-92559631349317836000000000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
 2.373 	 5.030 	92559631349317839000000000000000000000000000000000000.000 	-92559631349317839000000000000000000000000000000000000.000 

Ideal position x  Ideal position y  Kalman position x  Kalman position y/
